"sutta_id","title","nikaya","nikaya_name","folder","status","completion_score_pct","has_sutta_text","has_commentary","has_transcript","has_quiz","has_knowledge_graph","has_video_audio","has_mp4","has_srt","has_metrics","has_en_translation","has_jp_translation","youtube_id","youtube_url","sc_link","available_languages","json_file_path","mp4_file_path","srt_file_path","metrics_file_path","active_features_count","features_list","last_edited_timestamp"
"AN 1","Crossing the Flood & Emancipation","AN","Anguttara Nikaya","1","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1\1.json","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1\1.mp4","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1\1.en.srt","","11","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SRT SYNCROOT TRN","1786962846753"
"AN 1.1","Rūpādi Vagga","AN","Anguttara Nikaya","1_1","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an1.1-10","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_1\1_1.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_1\1_1.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_1\1_1.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962846771"
"AN 1.2","Nīvaraṇappahāna Vagga","AN","Anguttara Nikaya","1_2","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an1.11-20","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_2\1_2.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_2\1_2.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_2\1_2.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962846994"
"AN 1.3.1","Unworkable","AN","Anguttara Nikaya","1_3_1","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.21-30","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_1\1_3_1.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_1\1_3_1.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_1\1_3_1.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847133"
"AN 1.3.2","A Controllable Mind","AN","Anguttara Nikaya","1_3_2","RAW","85","True","True","False","False","False","False","True","True","False","True","False","","","https://suttacentral.net/an1.22","en","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_2\1_3_2.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_2\1_3_2.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_2\1_3_2.en.srt","","6","COM EN MP4 SC SRT TXT","1786167769400"
"AN 1.3.3","Unworkable","AN","Anguttara Nikaya","1_3_3","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.21-30","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_3\1_3_3.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_3\1_3_3.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_3_3\1_3_3.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847187"
"AN 1.5.6","Luminous Mind","AN","Anguttara Nikaya","1_5_6","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.41-50","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_5_6\1_5_6.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_5_6\1_5_6.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_5_6\1_5_6.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847262"
"AN 1.6.3","Unsuitability for Awakening","AN","Anguttara Nikaya","1_6_3","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.51-60","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_6_3\1_6_3.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_6_3\1_6_3.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_6_3\1_6_3.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847328"
"AN 1.10.18","Development of the Mind","AN","Anguttara Nikaya","1_10_18","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.306-315","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_10_18\1_10_18.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_10_18\1_10_18.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_10_18\1_10_18.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962846871"
"AN 1.18.4","Makkhali Sutta","AN","Anguttara Nikaya","1_18_4","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an1.316-332","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_18_4\1_18_4.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_18_4\1_18_4.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_18_4\1_18_4.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962846888"
"AN 1.19","Development of the Mind","AN","Anguttara Nikaya","1_19","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.333-377","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_19\1_19.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_19\1_19.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_19\1_19.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962846932"
"AN 1.19.2","Arousal of Energy","AN","Anguttara Nikaya","1_19_2","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.333-377","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_19_2\1_19_2.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_19_2\1_19_2.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_19_2\1_19_2.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962846981"
"AN 1.20.1","The Untamed Mind","AN","Anguttara Nikaya","1_20_1","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.378-401","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_20_1\1_20_1.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_20_1\1_20_1.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_20_1\1_20_1.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847063"
"AN 1.21.47","Development of Loving-Kindness","AN","Anguttara Nikaya","1_21_47","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an1.575-627","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_21_47\1_21_47.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_21_47\1_21_47.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\1_21_47\1_21_47.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847100"
"AN 2","AN 2","AN","Anguttara Nikaya","2","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2\2.json","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2\2.mp4","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2\2.en.srt","","11","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SRT SYNCROOT TRN","1786962847708"
"AN 2.1.3","Tapanīya Sutta","AN","Anguttara Nikaya","2_1_3","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an2.1-10","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_1_3\2_1_3.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_1_3\2_1_3.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_1_3\2_1_3.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847781"
"AN 2.2.5","Strict Self-Examination & Commission and Omission","AN","Anguttara Nikaya","2_2_5","RAW","85","True","True","False","False","False","False","True","True","False","True","False","","","https://suttacentral.net/an2.15","en","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_2_5\2_2_5.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_2_5\2_2_5.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_2_5\2_2_5.en.srt","","6","COM EN MP4 SC SRT TXT","1786167769476"
"AN 2.3.9","Aranya Sutta","AN","Anguttara Nikaya","2_3_9","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an2.30","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_3_9\2_3_9.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_3_9\2_3_9.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_3_9\2_3_9.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962847815"
"AN 2.4","Cūḷani Sutta / Parisā Sutta","AN","Anguttara Nikaya","2_4","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an2.32-41","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4\2_4.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4\2_4.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4\2_4.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962847831"
"AN 2.4.1","The Grateful and Thankful","AN","Anguttara Nikaya","2_4_1","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an2.31","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4_1\2_4_1.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4_1\2_4_1.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4_1\2_4_1.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847869"
"AN 2.4.2","The Grateful and Thankful Sutta","AN","Anguttara Nikaya","2_4_2","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an2.32","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4_2\2_4_2.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4_2\2_4_2.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_4_2\2_4_2.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962847943"
"AN 2.5.6","Parisā Sutta","AN","Anguttara Nikaya","2_5_6","COMPLETE","100","True","True","True","True","True","False","True","True","False","False","False","","","https://suttacentral.net/an2.42-51","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_5_6\2_5_6.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_5_6\2_5_6.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\2_5_6\2_5_6.en.srt","","16","COM COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED KG LENGTH LONGLENGTH MP4 QZ RANK SC SRT SYNCROOT TRN TXT","1786962848023"
"AN 3","AN 3","AN","Anguttara Nikaya","3","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3\3.json","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3\3.mp4","Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3\3.en.srt","","11","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SRT SYNCROOT TRN","1786962848040"
"AN 3.2.12","AN 3.2.12","AN","Anguttara Nikaya","3_2_12","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an3.12","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_2_12\3_2_12.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_2_12\3_2_12.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_2_12\3_2_12.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962848620"
"AN 3.3.24","AN 3.3.24","AN","Anguttara Nikaya","3_3_24","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an3.24","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_3_24\3_3_24.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_3_24\3_3_24.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_3_24\3_3_24.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962848634"
"AN 3.3.26","AN 3.3.26","AN","Anguttara Nikaya","3_3_26","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an3.26","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_3_26\3_3_26.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_3_26\3_3_26.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_3_26\3_3_26.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962848648"
"AN 3.4.34","AN 3.4.34","AN","Anguttara Nikaya","3_4_34","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an3.34","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_34\3_4_34.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_34\3_4_34.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_34\3_4_34.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962848734"
"AN 3.4.38","AN 3.4.38","AN","Anguttara Nikaya","3_4_38","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an3.38","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_38\3_4_38.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_38\3_4_38.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_38\3_4_38.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962848791"
"AN 3.4.39","AN 3.4.39","AN","Anguttara Nikaya","3_4_39","RAW","85","False","False","True","False","False","False","True","True","False","False","False","","","https://suttacentral.net/an3.39","Count IsFixedSize IsReadOnly IsSynchronized Length LongLength Rank SyncRoot","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_39\3_4_39.json","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_39\3_4_39.mp4","frontendoptimised2\downloads\Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera\3_4_39\3_4_39.en.srt","","12","COUNT ISFIXEDSIZE ISREADONLY ISSYNCHRONIZED LENGTH LONGLENGTH MP4 RANK SC SRT SYNCROOT TRN","1786962848831"
